# t, hp, hx
1.824816550700000123e-02 -9.504299294199999772e-04 -2.820935761899999932e-05
1.827195346200000126e-02 -1.353254875099999975e-03 -2.294600315799999831e-05
1.829574553399999914e-02 -1.872004746399999996e-03 -1.706326660500000132e-05
1.831953451100000116e-02 -2.435175490599999788e-03 -1.098963062899999982e-05
1.834331801900000031e-02 -2.908610836699999924e-03 -5.173926096700000238e-06
1.836711021799999899e-02 -3.168864727799999923e-03 6.107028441800000095e-08
1.839090746199999876e-02 -3.188184035399999929e-03 4.442648642300000102e-06
1.841470861899999895e-02 -3.017421359499999813e-03 7.730305882700000175e-06
1.843850269399999880e-02 -2.701294719000000080e-03 9.998459508900000604e-06
1.846229688799999949e-02 -2.353237156600000105e-03 1.135132744199999944e-05
1.848609011400000057e-02 -2.013222243100000041e-03 1.183527957499999928e-05
1.850988358099999939e-02 -1.698879434999999924e-03 1.162775398100000054e-05
1.853367064400000125e-02 -1.430613096200000073e-03 1.090690727799999922e-05
1.855746291499999964e-02 -1.249865280100000012e-03 9.845350155900000808e-06
1.858125423899999878e-02 -1.168907160299999899e-03 8.630478097199999996e-06
1.860504338100000057e-02 -1.134691496499999923e-03 7.337520637699999730e-06
1.862882887700000045e-02 -1.198713329400000020e-03 6.014827043700000251e-06
1.865261830099999851e-02 -1.381314521099999979e-03 4.724762509600000354e-06
1.867640945800000049e-02 -1.649296133500000082e-03 3.407448406899999847e-06
1.870019670699999900e-02 -2.016846757499999882e-03 1.991292174699999976e-06
1.872398852499999877e-02 -2.471682167500000200e-03 4.299834908499999948e-07
1.874778079100000022e-02 -2.938480026799999978e-03 -1.344634056000000093e-06
1.877157382900000032e-02 -3.306206279400000000e-03 -3.334203306099999982e-06
1.879536101300000039e-02 -3.440563291999999915e-03 -5.502505646900000232e-06
1.881915208400000011e-02 -3.341288765099999832e-03 -7.726505699799999830e-06
1.884293984200000049e-02 -3.067935485400000075e-03 -9.813499901599999706e-06
